scenario,regime,variant,D,eps_high,full_radial_mean,full_radial_std,sub_radial_mean,sub_radial_std,radial_ratio_mean,radial_ratio_std,dir_true_class_mean,dir_true_class_std,dir_false_class_mean,dir_false_class_std,class_id_accuracy,class_separation,direction_variance,class_dir_c0,class_dir_c1,class_dir_c2,class_dir_c3,notes
correct,B,shift1_s42,5,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=B;D=5;eps=0.0;norm=2i;proj=sin
correct,C,shift1_s42,5,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=C;D=5;eps=0.0;norm=sqrt2;proj=sin
correct,A,shift1_s42,20,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=correct;regime=A;D=20;eps=0.0;norm=sqrt2;proj=cos
correct,B,shift1_s42,20,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=B;D=20;eps=0.0;norm=2i;proj=sin
correct,C,shift1_s42,20,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=C;D=20;eps=0.0;norm=sqrt2;proj=sin
correct,A,shift1_s42,0,0.5,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=correct;regime=A;D=0;eps=0.5;norm=sqrt2;proj=cos
correct,B,shift1_s42,0,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=B;D=0;eps=0.5;norm=2i;proj=sin
correct,C,shift1_s42,0,0.5,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=C;D=0;eps=0.5;norm=sqrt2;proj=sin
correct,A,shift1_s42,1,0.5,4.0,0.0,1.4142132997512817,2.1529892535454564e-07,0.35355332493782043,5.382473133863641e-08,0.9277777075767517,0.12627406418323517,-0.3092592656612396,0.04209132865071297,0.75341796875,0.12682654090361253,0.01594514027237892,1.0,0.7071066498756409,1.0,1.0,scen=correct;regime=A;D=1;eps=0.5;norm=sqrt2;proj=cos
correct,B,shift1_s42,1,0.5,5.291503429412842,9.539072607367416e-07,2.0,5.9210247371765945e-08,0.37796449661254883,1.4802561842941486e-08,-0.17435982823371887,0.30485251545906067,0.05811995267868042,0.10161750018596649,0.0,0.3061861609886068,0.09293505549430847,0.0,-0.7071066498756409,0.0,0.0,scen=correct;regime=B;D=1;eps=0.5;norm=2i;proj=sin
correct,C,shift1_s42,1,0.5,4.0,0.0,1.4142132997512817,2.1529892535454564e-07,0.35355332493782043,5.382473133863641e-08,-0.17435982823371887,0.30485251545906067,0.05811995267868042,0.10161750018596649,0.0,0.3061861609886068,0.09293505549430847,0.0,-0.7071066498756409,0.0,0.0,scen=correct;regime=C;D=1;eps=0.5;norm=sqrt2;proj=sin
correct,A,shift1_s42,5,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.7613680362701416,0.41722649335861206,-0.25378936529159546,0.13907548785209656,0.75341796875,0.4190518289328149,0.17407792806625366,1.0,0.032241255044937134,1.0,1.0,scen=correct;regime=A;D=5;eps=0.5;norm=sqrt2;proj=cos
correct,B,shift1_s42,5,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,-0.24645385146141052,0.4309023916721344,0.08215128630399704,0.1436341404914856,0.0,0.43278764245682194,0.18567688763141632,0.0,-0.9994802474975586,0.0,0.0,scen=correct;regime=B;D=5;eps=0.5;norm=2i;proj=sin
correct,C,shift1_s42,5,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,-0.24645385146141052,0.4309023916721344,0.08215128630399704,0.1436341404914856,0.0,0.43278764245682194,0.18567688763141632,0.0,-0.9994802474975586,0.0,0.0,scen=correct;regime=C;D=5;eps=0.5;norm=sqrt2;proj=sin
correct,A,shift1_s42,20,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.7534182071685791,0.4311261475086212,-0.251139372587204,0.1437087059020996,0.75341796875,0.4330123078662732,0.1858697533607483,1.0,9.099639441956242e-07,1.0,1.0,scen=correct;regime=A;D=20;eps=0.5;norm=sqrt2;proj=cos
correct,B,shift1_s42,20,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=B;D=20;eps=0.5;norm=2i;proj=sin
correct,C,shift1_s42,20,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,-0.24658203125,0.43112653493881226,0.082194022834301,0.14370884001255035,0.0,0.4330127018922193,0.18587009608745575,0.0,-1.0,0.0,0.0,scen=correct;regime=C;D=20;eps=0.5;norm=sqrt2;proj=sin
correct,A,shift1_s42,0,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=correct;regime=A;D=0;eps=1.0;norm=sqrt2;proj=cos
correct,B,shift1_s42,0,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=B;D=0;eps=1.0;norm=2i;proj=sin
correct,C,shift1_s42,0,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=C;D=0;eps=1.0;norm=sqrt2;proj=sin
correct,A,shift1_s42,1,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=correct;regime=A;D=1;eps=1.0;norm=sqrt2;proj=cos
correct,B,shift1_s42,1,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=B;D=1;eps=1.0;norm=2i;proj=sin
correct,C,shift1_s42,1,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=C;D=1;eps=1.0;norm=sqrt2;proj=sin
correct,A,shift1_s42,5,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=correct;regime=A;D=5;eps=1.0;norm=sqrt2;proj=cos
correct,B,shift1_s42,5,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=B;D=5;eps=1.0;norm=2i;proj=sin
correct,C,shift1_s42,5,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=C;D=5;eps=1.0;norm=sqrt2;proj=sin
correct,A,shift1_s42,20,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=correct;regime=A;D=20;eps=1.0;norm=sqrt2;proj=cos
correct,B,shift1_s42,20,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=B;D=20;eps=1.0;norm=2i;proj=sin
correct,C,shift1_s42,20,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=correct;regime=C;D=20;eps=1.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,0,0.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=0;eps=0.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,0,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=0;eps=0.0;norm=2i;proj=sin
mismatch,C,shift1_s42,0,0.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=0;eps=0.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,1,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.24658203125,0.43112653493881226,-0.082194022834301,0.14370884001255035,0.24658203125,0.4330127018922193,0.18587009608745575,0.0,1.0,0.0,0.0,scen=mismatch;regime=A;D=1;eps=0.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,1,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=B;D=1;eps=0.0;norm=2i;proj=sin
mismatch,C,shift1_s42,1,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=C;D=1;eps=0.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,5,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.24658203125,0.43112653493881226,-0.082194022834301,0.14370884001255035,0.24658203125,0.4330127018922193,0.18587009608745575,0.0,1.0,0.0,0.0,scen=mismatch;regime=A;D=5;eps=0.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,5,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=B;D=5;eps=0.0;norm=2i;proj=sin
mismatch,C,shift1_s42,5,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=C;D=5;eps=0.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,20,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.24658203125,0.43112653493881226,-0.082194022834301,0.14370884001255035,0.24658203125,0.4330127018922193,0.18587009608745575,0.0,1.0,0.0,0.0,scen=mismatch;regime=A;D=20;eps=0.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,20,0.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=B;D=20;eps=0.0;norm=2i;proj=sin
mismatch,C,shift1_s42,20,0.0,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.75341796875,0.43112656474113464,-0.2511392831802368,0.14370884001255035,0.75341796875,0.4330127208198057,0.18587011098861694,1.0,-4.371138828673793e-08,1.0,1.0,scen=mismatch;regime=C;D=20;eps=0.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,0,0.5,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=0;eps=0.5;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,0,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=0;eps=0.5;norm=2i;proj=sin
mismatch,C,shift1_s42,0,0.5,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=0;eps=0.5;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,1,0.5,4.0,0.0,1.4142132997512817,2.1529892535454564e-07,0.35355332493782043,5.382473133863641e-08,0.17435982823371887,0.30485251545906067,-0.05811995267868042,0.10161750018596649,0.24658203125,0.3061861609886068,0.09293505549430847,0.0,0.7071066498756409,0.0,0.0,scen=mismatch;regime=A;D=1;eps=0.5;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,1,0.5,5.291503429412842,9.539072607367416e-07,2.0,5.9210247371765945e-08,0.37796449661254883,1.4802561842941486e-08,0.9277777075767517,0.12627406418323517,-0.3092592656612396,0.04209132865071297,0.75341796875,0.12682654090361253,0.01594514027237892,1.0,0.7071066498756409,1.0,1.0,scen=mismatch;regime=B;D=1;eps=0.5;norm=2i;proj=sin
mismatch,C,shift1_s42,1,0.5,4.0,0.0,1.4142132997512817,2.1529892535454564e-07,0.35355332493782043,5.382473133863641e-08,0.9277777075767517,0.12627406418323517,-0.3092592656612396,0.04209132865071297,0.75341796875,0.12682654090361253,0.01594514027237892,1.0,0.7071066498756409,1.0,1.0,scen=mismatch;regime=C;D=1;eps=0.5;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,5,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.24645385146141052,0.4309023916721344,-0.08215128630399704,0.1436341404914856,0.24658203125,0.43278764245682194,0.18567688763141632,0.0,0.9994802474975586,0.0,0.0,scen=mismatch;regime=A;D=5;eps=0.5;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,5,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.7613680362701416,0.41722649335861206,-0.25378936529159546,0.13907548785209656,0.75341796875,0.4190518289328149,0.17407792806625366,1.0,0.032241255044937134,1.0,1.0,scen=mismatch;regime=B;D=5;eps=0.5;norm=2i;proj=sin
mismatch,C,shift1_s42,5,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.7613680362701416,0.41722649335861206,-0.25378936529159546,0.13907548785209656,0.75341796875,0.4190518289328149,0.17407792806625366,1.0,0.032241255044937134,1.0,1.0,scen=mismatch;regime=C;D=5;eps=0.5;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,20,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.24658203125,0.43112653493881226,-0.082194022834301,0.14370884001255035,0.24658203125,0.4330127018922193,0.18587009608745575,0.0,1.0,0.0,0.0,scen=mismatch;regime=A;D=20;eps=0.5;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,20,0.5,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,0.7534182071685791,0.4311261475086212,-0.251139372587204,0.1437087059020996,0.75341796875,0.4330123078662732,0.1858697533607483,1.0,9.099639441956242e-07,1.0,1.0,scen=mismatch;regime=B;D=20;eps=0.5;norm=2i;proj=sin
mismatch,C,shift1_s42,20,0.5,4.0,0.0,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,5.961920379604635e-08,0.7534182071685791,0.4311261475086212,-0.251139372587204,0.1437087059020996,0.75341796875,0.4330123078662732,0.1858697533607483,1.0,9.099639441956242e-07,1.0,1.0,scen=mismatch;regime=C;D=20;eps=0.5;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,0,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=0;eps=1.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,0,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=0;eps=1.0;norm=2i;proj=sin
mismatch,C,shift1_s42,0,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=0;eps=1.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,1,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=1;eps=1.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,1,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=1;eps=1.0;norm=2i;proj=sin
mismatch,C,shift1_s42,1,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=1;eps=1.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,5,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=5;eps=1.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,5,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=5;eps=1.0;norm=2i;proj=sin
mismatch,C,shift1_s42,5,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=5;eps=1.0;norm=sqrt2;proj=sin
mismatch,A,shift1_s42,20,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,0.0,0.0,-2.5581203821900544e-09,1.7852249456495883e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scen=mismatch;regime=A;D=20;eps=1.0;norm=sqrt2;proj=cos
mismatch,B,shift1_s42,20,1.0,5.291503429412842,9.539072607367416e-07,2.0,0.0,0.37796449661254883,0.0,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=B;D=20;eps=1.0;norm=2i;proj=sin
mismatch,C,shift1_s42,20,1.0,4.0,1.1842049474353189e-07,1.4142132997512817,2.384768151841854e-07,0.35355332493782043,6.819111320055526e-08,1.0,0.0,-0.3333333134651184,3.3302100632681686e-08,1.0,0.0,0.0,1.0,1.0,1.0,1.0,scen=mismatch;regime=C;D=20;eps=1.0;norm=sqrt2;proj=sin
